frame,Coord
796,"[(757.0, 315.0), (529.0, 229.0)]"
797,"[(525.5, 227.5), (757.0, 313.0)]"
798,"[(532.0, 228.0), (759.5, 311.5)]"
799,"[(525.5, 227.5), (765.5, 310.5)]"
800,"[(766.5, 310.5), (531.0, 226.0)]"
801,"[(771.5, 311.5)]"
812,"[(1100.5, 335.5)]"
813,"[(459.5, 298.5), (283.5, 216.5), (1104.0, 333.0)]"
814,"[(460.5, 298.5), (286.0, 218.0), (1104.0, 330.0)]"
815,"[(464.5, 300.5), (288.0, 218.0), (1106.0, 328.0)]"
816,"[(469.0, 299.0), (289.0, 219.0), (1108.5, 328.5)]"
817,"[(473.0, 299.0), (290.5, 217.5), (1108.5, 327.5)]"
818,"[(474.0, 300.0), (292.5, 220.5), (1111.5, 328.5)]"
819,"[(474.0, 304.0), (1109.5, 330.5), (297.0, 223.0)]"
820,"[(476.0, 304.0), (1114.0, 333.0), (296.5, 225.5)]"
821,"[(477.0, 305.0), (299.5, 224.5), (1116.5, 335.5)]"
822,"[(480.0, 305.0), (303.5, 224.5), (1119.0, 336.0)]"
823,"[(302.0, 225.0), (479.0, 306.0), (1118.5, 339.5)]"
824,"[(304.0, 226.0), (477.5, 308.5), (1118.0, 344.0)]"
825,"[(585.5, 245.5), (1117.5, 345.5), (480.5, 311.5), (307.5, 227.5)]"
826,"[(587.5, 244.5)]"
827,"[(588.5, 243.5)]"
828,"[(592.0, 241.0)]"
829,"[(592.5, 239.5), (833.0, 330.0)]"
830,"[(593.0, 240.0), (833.5, 328.5)]"
831,"[(597.0, 240.0), (833.5, 326.5)]"
832,"[(599.0, 241.0), (833.0, 324.0)]"
833,"[(598.0, 242.0), (833.5, 324.5)]"
834,"[(834.5, 324.5), (599.0, 242.0)]"
835,"[(834.5, 324.5), (599.0, 242.0)]"
836,"[(600.0, 244.0), (834.5, 324.5)]"
837,"[(834.0, 328.0)]"
842,"[(1135.0, 356.0)]"
843,"[(1134.5, 353.5)]"
844,"[(1134.5, 352.5)]"
845,"[(1140.0, 349.0)]"
846,"[(1141.0, 347.0)]"
847,"[(1141.0, 346.0)]"
848,"[(1142.0, 347.0)]"
849,"[(1140.5, 345.5), (346.0, 247.0), (521.5, 323.5)]"
850,"[(1144.0, 345.0), (522.5, 324.5), (348.0, 249.0)]"
851,"[(1149.0, 345.0), (347.5, 248.5), (525.5, 322.5)]"
